title,dates,press,link,content,time
"네이버 라인이 만든 美 코인 거래소, 2년 9개월만 폐업",2022.11.30,10면 2단,https://n.news.naver.com/mnews/article/011/0004128247?sid=101,"
비트프론트 ""FTX 사태와는 무관""



[서울경제] 네이버 일본 관계사 라인이 미국에 설립한 암호화폐 거래소 ‘비트프론트(Bitfront)’가 출범 3년도 안 돼 자진 폐업했다.30일 암호화폐 업계에 따르면 비트프론트는 28일(현지시간) 홈페이지 공지를 통해 영업 중단을 알렸다. 비트프론트는 “빠르게 발전하는 (암호화폐) 산업에서 도전 과제 극복을 위해 노력했지만 유감스럽게도 문을 닫을 필요가 있다고 결정했다”고 밝혔다. 폐업 사유는 라인 블록체인 생태계와 라인 블록체인의 자체 암호화폐인 ‘링크(LINK)’ 보호였다.미 캘리포니아주에 본사를 둔 비트프론트는 2020년 2월 말 개소한 암호화폐 거래소로, 비트프론트 폐업은 영업 개시 2년 9개월 만이다. 비트프론트는 내년 3월 31일까지 모든 자산을 출금해달라고 고객들에게 요청했다. 신규 가입 및 신용카드 결제는 28일부터 중단됐다.한편 비트프론트는 이번 폐업 조치가 글로벌 암호화폐 거래소 FTX의 파산보호 신청 사태와는 무관하다고 선을 그었다. 비트프론트는 “이번 결정은 라인 블록체인 생태계의 최선의 이익을 위해 내려진 조치”라며 “위법 행위로 고발된 특정 거래소와 관련한 최근의 이슈와는 상관이 없다는 점을 유의해달라”고 강조했다.한편 로이터통신은 암호화폐 정보 사이트 코인게코 자료를 인용해 비트프론트가 코인 6종과 트레이딩 페어(상관관계가 높은 코인 2개를 활용한 차익 거래) 13종목의 거래를 취급했고, 하루 거래대금은 9400만 달러(약 1250억 원)였다고 전했다.
",2022-11-30 11:23:01
가짜 코로나 추적 앱 통해 퍼지는 퍼니셔 랜섬웨어,2022.11.30,보안뉴스,http://www.boannews.com,,
네이버 라인이 만든 미국 가상화폐거래소 3년도 안 돼 폐업,2022.11.30,위키트리,http://www.wikitree.co.kr,,
"[오전브리핑] 두나무, 코인베이스, 런던증권거래소, 파월 연설",2022.11.30,코인데스크코리아,https://www.coindeskkorea.com/,,
[오후 시세브리핑] '공포' 벗어난 시장...비트코인 3.81% ↑,2022.11.30,토큰포스트,https://www.tokenpost.kr,,
"멕시코 대형 거래소 '빗소', 6개월 만에 추가 감원",2022.11.30,토큰포스트,https://www.tokenpost.kr,,
"[토큰포스트 오후 브리핑] 자본시장연구원 ""한국, 가상자산 과세제도 세계 하...",2022.11.30,토큰포스트,https://www.tokenpost.kr,,
"임직원 가족도 가상화폐 거래 제한… 두나무, 내부통제 강화",2022.11.30,16면 1단,https://n.news.naver.com/mnews/article/021/0002544067?sid=101,"
‘업비트’통한 매매는 물론다른 거래소도 부분 통제정부 지침보다 엄격한 수준가상화폐거래소 업비트의 운영사 두나무가 임직원을 대상으로 적용하던 내부통제 정책을 임직원의 가족에게까지 확대했다. 내부통제 시스템을 전통 금융권 수준까지 끌어올려 신뢰할 수 있는 시장 환경을 조성하겠다는 의지다. 두나무는 지난 8월부터 업비트를 통한 가상자산 거래를 임직원의 직계 가족까지 제한하는 내부통제 정책을 시행하고 있다고 30일 밝혔다. 종전에는 자사 계정을 통한 가상자산 거래 금지 조치를 임직원 본인에게만 적용했다. 두나무는 또한 임직원이 다른 거래소를 이용할 경우 비트코인을 비롯해 시가총액 상위 12종목만 매매할 수 있도록 하고 있다. 거래 금액은 매수 원금 기준 연간 1억 원 이하로 제한되며, 분기마다 거래내역을 보고해야 한다.이 같은 내부통제 정책은 정부 지침보다 더 엄격한 수준이다. 앞서 정부는 2021년 9월 가상자산 사업자의 시세 조종 등으로 인한 이용자 피해 방지 및 거래 투명성 제고를 위해 사업자 및 임직원의 자사 계정을 통한 가상자산 거래를 막는 선에서 특정금융정보법(특금법) 시행령을 개정했다. 이를 이행하지 않을 경우 영업정지 처분 또는 1억 원 이하의 과태료를 부과할 수 있다. 두나무 관계자는 “가장 신뢰받는 글로벌 표준 디지털 자산 거래소라는 명성에 걸맞게 사회적 책무를 다하고자 내부통제를 강화하게 됐다”며 “임직원의 다른 거래소 거래를 제한하거나 가족의 업비트 거래소 이용을 제한하는 등 선제적으로 강화된 내부 통제 규정을 마련해 지키고 있다”고 설명했다.  
",2022-11-30 11:49:11
"美 블록파이 파산에도, 비트코인 가격 '장중 돌연 급등'...왜?",2022.11.30,초이스경제,http://www.choicenews.co.kr,,
"캐시 우드, 비트코인 2030년까지 130만 달러 예상",2022.11.30,연합인포맥스,http://www.einfomax.com,,
