title,dates,press,link,content,time
美 SEC 칼날에… 비트코인 일주일 새 7% 넘게 급락,2023.02.12,A16면 1단,https://n.news.naver.com/mnews/article/022/0003782700?sid=101,"
세계 3위 코인거래소 크라켄 제재모든 스테이킹 서비스 중단 여파시장선 “美 긴축 완화 땐 상승세로”“규제리스크 아직 커” 전망 엇갈려FTX, 테라·루나 사태 이후 두 달여 만에 2900만원을 회복한 가상화폐의 대장주 비트코인이 일주일 새 7% 넘게 급락했다. 미국 연방준비제도(Fed·연준)의 긴축 장기화 발언과 함께 세계 3위 가상화폐 거래소 크라켄이 미국 증권거래위원회(SEC) 제재를 받은 것이 영향을 미쳤다.  12일 가상화폐 중계사이트 코인마켓캡에 따르면 비트코인 가격은 지난 3일 오전 4시 기준 2945만원까지 치솟은 뒤 지난 11일 오전 8시 기준 2737만원으로 7.2% 하락했다. 이후 12일 오후 1시 기준 2700만원대를 횡보했다.  



   사진=AFP연합뉴스    비트코인 가격이 떨어진 것은 미 SEC 제재로 크라켄이 이더리움을 포함한 모든 스테이킹 서비스를 중단한다는 소식이 전해지면서다. 크라켄은 가상화폐를 예치하면 이자를 주는 스테이킹 서비스를 운영했는데 SEC는 이를 미등록 증권업으로 판단했다. 게다가 뉴욕 기업들의 엇갈린 실적발표와 연준 당국자들의 매파성향 발언 등에 나스닥 지수가 빠지면서 가상화폐 가격은 함께 하락했다.  이 같은 현상을 바라보는 시장의 시각은 엇갈리고 있다. 비트코인 상승을 예측하는 이들은 최근 가상화폐 시장과 나스닥 등 증시의 동조화 현상이 나타나면서 긴축완화 시점에 맞춰 가상화폐 시장이 다시 상승기를 맞이할 것이라고 전망한다. 한국금융연구원에 따르면 2020년부터 2022년까지 나스닥과 비트코인 가격의 상관계수는 0.88로 최근 들어 비슷하게 움직여왔다. 상관계수는 1에 가까울수록 밀접한 연관이 있다는 것을 뜻한다.  오재영 KB증권 연구원은 “2023년 초 연준의 피봇(금리인하 전환)에 대한 기대감과 이에 따른 실질금리 하락, 달러지수 하락 등으로 비트코인은 40% 가까이 상승했다”며 “이는 2019년 상반기 강세장을 이끌었던 환경과 동일한데 추가적인 상승을 보이려면 금리 및 달러 하락 추세가 이어지는지 여부가 확인돼야 할 것”이라고 내다봤다.  2024년 5월 중으로 예상되는 비트코인 반감기도 상승 기대감을 높이고 있다. 비트코인은 약 4년 주기로 채굴에 대한 보상이 절반으로 줄어든다. 첫 번째 반감기는 2012년, 두 번째 반감기는 2016년, 세 번째는 2020년 5월에 발생했다. 대부분 비트코인 상승기와 맞물려 있다.  회의론자들은 세계 정부의 가상자산 규제에 대한 리스크가 여전히 크다고 진단한다. 미 SEC는 일부 가상화폐와 거래소가 규제당국에 신고하지 않고 증권업을 하는지 여부를 집중 조사해 제재하고 있다. 리플 등 가상화폐에 대한 미국 법원의 증권성 판단도 다음 달 앞두고 있다. 국내에서도 가상자산에 대한 17개 법안의 입법 논의가 오는 27일 국회 정무위원회에서 예정됐다. 만일 가상화폐의 증권성이 폭넓게 인정된다면 대규모 가상화폐 상장폐지 사태가 발생할 수 있다.  국제통화기금(IMF)은 비트코인을 법정화폐로 채택한 엘살바도르를 진단하면서 “비트코인 사용 위험이 현실화하지 않았지만 여전히 가상화폐 시장의 법적위험, 재정취약성, 투기적 성격을 감안할 때 주의가 필요하다”고 지적했다.
",2023-02-12 20:14:04
"비트코인과 삼성전자, 테슬라 지지선 분석은..CPI가 기회일 수 있어..시장은 ...",2023.02.12,매일안전신문,http://peoplesafe.kr,,
"[속보] 푸틴 국정연설 ""우크라 전쟁 2년 더"" 특별군사작전 연장 뉴욕증시 비트...",2023.02.12,글로벌이코노믹,http://www.g-enews.com/,,
"'부자아빠' 저자, 발렌타이데이에 비트코인 폭락 경고...14일 美 CPI 발표 주...",2023.02.12,코인리더스,http://coinreaders.com,,
"[속보] 미국 근원 CPI 물가 5.2% 뉴욕증시 비트코인 ""환호"" 연준 피벗 FOMC 금...",2023.02.13,글로벌이코노믹,http://www.g-enews.com/,,
AI 챗봇 챗GPT가 바라본 비트코인은?,2023.02.13,핀포인트뉴스,http://www.pinpointnews.co.kr,,
"[단독] LG유플러스 해킹조직, 12일 ""해킹한 데이터 11만 달러에 판매하겠다"" ...",2023.02.13,데일리시큐,http://www.dailysecu.com,,
"국제유가 ""100달러 돌파"" 러시아 대대적 감산 뉴욕증시 비트코인 흔들",2023.02.13,글로벌이코노믹,http://www.g-enews.com/,,
"[인물 후이즈] 일본은행 우에다 가즈오 총재, 뉴욕증시 비트코인 환호 왜?",2023.02.13,글로벌이코노믹,http://www.g-enews.com/,,
비트코인 2만2000달러 횡보…크라켄 美 SEC 제재 여파,2023.02.13,핀포인트뉴스,http://www.pinpointnews.co.kr,,
'배그·옵치' 핵 프로그램 팔아 3.6억 챙겨…30대 징역형 집행유예,2023.02.13,뉴스1,https://n.news.naver.com/mnews/article/421/0006626445?sid=102,"
해외 사이트서 비트코인으로 '게임핵' 구입해 국내 유통



2022.12.26/뉴스1 ⓒ News1 신웅수 기자(서울=뉴스1) 김근욱 기자 = 불법 게임 조작 프로그램인 이른바 '게임핵'을 팔아 수억원을 챙긴 30대 남성이 1심에서 징역형의 집행유예를 선고받았다. 13일 법조계에 따르면 서울중앙지법 형사2단독 김택성 판사는 게임산업진흥에 관한 법률위반, 업무방해 혐의로 재판에 넘겨진 A씨(32)에게 징역 2년에 집행유예 3년, 추징금 1억4400만원을 선고했다. A씨는 게임 핵프로그램을 한국에 유통시키기 위해 해외 인터넷 사이트에서 암호화폐 비트코인을 이용해 다수의 게임핵을 구매했다.A씨가 구매한 게임핵은 '배틀그라운드' '오버워치' 등 인기 총게임에 사용되는 것으로, 사용자가 직접 조작하지 않아도 상대방을 조준하고 주변에 총을 쏴도 상대방이 맞는 방식이었다. A씨는 이같은 게임핵을 게임용 음성채팅 메신저에서 총 1만9459회에 걸쳐 3억6045만원치를 판매한 혐의로 재판에 넘겨졌다. A씨의 범행으로 정상적인 게임 이용자가 민원을 제기하고, 게임사 측이 보안 프로그램 비용을 지출하면서 회사의 업무를 방해한 혐의도 함께 적용됐다.재판부는 ""핵프로그램은 게임의 공정성을 심하게 훼손해 게임을 개발해 관리하는 회사뿐만 아니라 참여자에게도 악영향을 미쳐 엄벌이 필요하다""고 지적했다.다만 재판부는 ""피고인이 잘못을 반성하고 있고 형사처벌 전력이 없는 초범인 점을 고려해 형을 정한다""고 밝혔다.
		",2023-02-13 06:30:00
