date,time,title,content,press,link
2018.07.01,,비트코인 -0.50%↓ 이더리움 -0.96%↓ 리플 -1.33%↓ 대시 -0.20%↓ 에이다 -...,,로이슈,http://www.lawissue.co.kr
2018.07.01,,비트코인 -0.46%↓ 이더리움 -1.08%↓ 리플 -0.76%↓ 라이트코인 -0.44%↓ 대...,,로이슈,http://www.lawissue.co.kr
2018.07.01,,비트코인 -0.56%↓ 이더리움 -1.50%↓ 리플 -0.95%↓ 퀀텀 -2.68%↓ 라이트코...,,로이슈,http://www.lawissue.co.kr
2018.07.01,2018-07-01 00:00:59,"[가상화폐 뉴스] 07월 01일 00시 00분 비트코인(6.84%), 비트코인 골드(26.38...","
[한국경제TV 라이온봇 기자]



[그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 ""코인원""에 따르면 가상화폐 대장 격인 비트코인의 시세는 24시간 전 대비 458,000원(6.84%) 상승한 7,155,000원에 거래되고 있다.비트코인을 제외한 가상화폐 동향은 모두 상승세를 보이고 있다. 특히, 비트코인 골드는 24시간 전 대비 26.38% 상승한 132,000원에 거래되며 가장 큰 상승폭을 보였다.또한, 비트코인 캐시(10.34%, 832,000원), 라이트코인(9.43%, 91,650원), 오미세고(8.9%, 8,440원), 이오스(7.62%, 9,180원), 이더리움(7.28%, 504,200원), 퀀텀(7.26%, 9,450원), 이더리움 클래식(6.06%, 17,840원), 아이오타(5.71%, 1,110원), 리플(5.25%, 521원)은 상승세를 보이고 있다. 한편 거래금액 기준으로는 비트코인, 리플, 이더리움 순으로 가장 활발한 거래를 보이고 있다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000655068?sid=004
2018.07.01,2018-07-01 00:03:40,"[가상화폐 뉴스] 비트코인 캐시, 전일 대비 77,500원 (10.28%) 오른 831,500원","
[한국경제TV 라이온봇 기자]



[그림 1] 비트코인 캐시 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)07월 01일 00시 02분 현재 암호화폐 거래소 코인원에 따르면 비트코인 캐시는 전일 대비 77,500원 (10.28%) 오른 831,500원에 거래되고 있다.전일 대비 최저가는 810,500원, 최고가는 880,500원이었다. 1일 거래량은 27,350,591 BCH이며, 거래대금은 약 1,938,587,904원이었다.전일 거래량 대비 당일 거래량은 증가하고 있다. 최근 1개월 고점은 1,323,500원이었으며, 현재 가격은 고점 대비 62.83% 수준이다.또한, 최근 1개월 저점은 732,500원이었으며, 현재 가격은 고점 대비 113.52% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000655072?sid=004
2018.07.01,2018-07-01 00:05:09,"[가상화폐 뉴스] 비트코인 골드, 전일 대비 27,550원 (26.38%) 오른 132,000원","
[한국경제TV 라이온봇 기자]



[그림 1] 비트코인 골드 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)07월 01일 00시 04분 현재 암호화폐 거래소 코인원에 따르면 비트코인 골드는 전일 대비 27,550원 (26.38%) 오른 132,000원에 거래되고 있다.전일 대비 최저가는 102,000원, 최고가는 132,000원이었다. 1일 거래량은 1,948,529 BTG이며, 거래대금은 약 27,542,342원이었다.전일 거래량 대비 당일 거래량은 증가하고 있다. 최근 1개월 고점은 177,850원이었으며, 현재 가격은 고점 대비 74.22% 수준이다.또한, 최근 1개월 저점은 100,000원이었으며, 현재 가격은 고점 대비 132% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000655074?sid=004
2018.07.01,,[암호화폐 시황] 비트코인 0.53%↓ · 이더리움 1.08%↓ … 00시 00분 현재,,글로벌경제,http://www.getnews.co.kr
2018.07.01,,"(비트코인 00시 시황) 국내 암호화폐(가상화폐) 거래소 기준 6,389,000원 ~ 7...",,한국농업신문,http://www.newsfarm.co.kr
2018.07.01,,"07월 01일 00시, 가상화폐(암호화폐) 시세 브리핑 (비트코인/이더리움/라이트...",,경상일보,http://ksilbo.co.kr
2018.07.01,,"암호화폐(가상화폐) 00시 기준, 라이트코인 91,650원(-0.70%), 리플 522원(-1...",,그린포스트코리아,http://www.greenpostkorea.co.kr/
